bookname,n,k,m,count1,count2,count3,user,sys,real
don-quixote,wc:,3,10000000,7024519,3533297,633785,416.0,4.0,435.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,84.0,0.0,89.0
zadig,wc:,3,10000000,349639,126512,9516,20.0,0.0,22.0
don-quixote,wc:,3,10000000,7024519,3533297,633785,416.0,4.0,436.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,84.0
zadig,wc:,3,10000000,349639,126512,9516,16.0,0.0,17.0
don-quixote,wc:,3,10000000,7024519,3533297,633785,416.0,4.0,436.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,86.0
zadig,wc:,3,10000000,349639,126512,9516,12.0,0.0,17.0
don-quixote,wc:,3,10000000,7024519,2625307,471972,360.0,0.0,371.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,85.0
zadig,wc:,3,10000000,349639,126512,9516,12.0,0.0,16.0
don-quixote,wc:,3,10000000,7024519,2625307,471972,348.0,12.0,370.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,85.0
zadig,wc:,3,10000000,349639,126512,9516,12.0,0.0,17.0
don-quixote,wc:,3,10000000,7024519,12342733,2211700,964.0,20.0,1030.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,85.0
zadig,wc:,3,10000000,349639,113055,8413,12.0,0.0,16.0
don-quixote,wc:,3,10000000,7024519,151448,26438,200.0,0.0,204.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,85.0
zadig,wc:,3,10000000,349639,113055,8413,12.0,0.0,16.0
don-quixote,wc:,3,10000000,7024519,151448,26438,200.0,0.0,203.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,85.0
zadig,wc:,3,10000000,349639,113055,8413,12.0,0.0,17.0
don-quixote,wc:,3,10000000,7024519,151448,26438,200.0,0.0,203.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,84.0,0.0,88.0
zadig,wc:,3,10000000,349639,113055,8413,16.0,0.0,20.0
don-quixote,wc:,3,10000000,7024519,151448,26438,200.0,0.0,204.0
madame-bovary,wc:,3,10000000,1796277,659330,51508,80.0,0.0,85.0
zadig,wc:,3,10000000,349639,113055,8413,12.0,0.0,16.0
